,Accession,Gene Symbol,Palbociclib,Panobinostat,Raltitrexed,Methotrexate,Vemurafenib,Fimepinostat,Olaparib,Bafetinib,SCIO-469,OTS964,SL-327,Abemaciclib,CCT137690,Belumosudil,Parthenolide
689,P33316,DUT,0.9948740464299434,1.0051523643504932,1.1566470770182493,1.1685864522115683,1.21487163625116,1.1685864522115683,1.0051523643504932,1.0424104680156228,1.1689699969068976,0.9948740464299434,1.127188369935045,1.1566470770182493,1.1400927930714506,1.1685864522115683,1.1566470770182493
690,P48634,PRRC2A,0.9990610328638497,1.0370811615785553,1.0733680814097792,1.0334388603086664,1.0770910896003971,1.0164721013058964,1.0044676098287417,1.020054604120129,1.020054604120129,1.0590717299578059,1.0370811615785553,1.0334388603086664,1.0590717299578059,1.0009398496240602,1.0733680814097792
691,Q13347,EIF3I,1.3007228495950303,1.3546317531279939,1.0163317152837636,1.3944320260109733,1.4448573170377683,1.1289525019280497,1.314337968473307,1.3944320260109733,1.4448573170377683,0.9737382661512977,1.3546317531279939,1.0584539309531371,1.314337968473307,1.4777774552210643,1.026970013156104
692,Q5SW79,CEP170,1.0512195947088874,1.1369802767346664,1.1537500446221396,1.1613179595187948,1.1613179595187948,1.1291900189197872,0.951276027419303,1.070130924591495,1.1291900189197872,1.0919855204844549,1.1522507407275193,1.1537500446221396,1.1522507407275193,1.1092349980366258,1.1537500446221396
693,Q9NX55,HYPK,1.1845300513273358,1.0439499371798588,1.0371363680293804,1.2536839781444893,0.972074124527327,1.1749268723439483,1.1923119377449085,1.1923119377449085,0.972074124527327,1.1923119377449085,1.1845300513273358,1.2375958938131244,1.1845300513273358,1.0287281337585772,1.2375958938131244
694,Q9GZP4,PITHD1,1.0412937539653613,1.144237908179106,1.0860972745312436,1.0148134505078146,1.0872493816765774,1.0860972745312436,1.1126365096721067,1.0872493816765774,1.1156198112825497,1.0860972745312436,1.077147369699915,1.077147369699915,0.9854027846197723,1.1126365096721067,1.0584776087986107
695,Q96T76,MMS19,1.1881354508024538,1.1881354508024538,1.0096034346401537,1.170321821695656,1.170321821695656,1.035250254208564,1.118477438870683,1.170321821695656,1.1549029493319891,1.0096034346401537,1.126291908243005,0.9974081586657653,1.126291908243005,1.243256869170658,1.0025985764320415
696,Q99536,VAT1,1.150838135493102,1.0900355731744136,0.9812765339816393,1.0900355731744136,1.085270605531563,1.039517311935313,1.10631259762933,1.1070345624237015,1.10631259762933,1.0104278371482454,1.0900355731744136,1.0235550789483416,1.085270605531563,1.10631259762933,1.0190807232925343
697,Q7Z4W1,DCXR,0.9899192025975988,1.0777775658873334,1.1150383141762452,1.074904214559387,1.074904214559387,1.0633716475095787,1.0101834547465578,1.05854532972272,1.0633716475095787,1.0755558945802661,1.0804597701149425,1.082691570881226,1.074904214559387,1.0147892720306513,1.074904214559387
698,P17612,PRKACA,1.0182266009852217,1.0859136758151537,1.0474548440065683,1.0109698155394073,1.0647475312092416,1.0474548440065683,1.0410039878020174,1.0647475312092416,1.0723903354445228,1.0474548440065683,1.0257799671592773,1.0257799671592773,0.98914921556431,1.0410039878020174,1.0335848705049375
